54.254.75.107:443#SG [沧州电信优选高速110.00ms]
129.226.196.72:443#SG [125.00ms]
47.236.119.109:443#SG [203.00ms]
138.2.64.229:443#SG [250.00ms]
5.223.56.239:8443#SG [250.00ms]
129.150.48.17:443#SG [250.00ms]
5.35.103.185:8443#SK [1313.00ms]
157.85.96.9:443#TH [282.00ms]
157.85.96.6:443#TH [282.00ms]
45.91.134.91:2053#TH [1328.00ms]
185.235.243.172:443#TR [219.00ms]
212.102.107.82:443#TR [250.00ms]
188.132.192.190:2053#TR [250.00ms]
138.249.20.217:2053#TR [266.00ms]
45.12.143.73:443#TR [266.00ms]
138.249.20.76:443#TR [281.00ms]
212.102.107.40:443#TR [281.00ms]
188.132.192.194:2053#TR [282.00ms]
220.135.92.105:2087#TW [78.00ms]
125.228.236.138:443#TW [78.00ms]
114.33.57.170:443#TW [93.00ms]
185.86.77.181:8443#UA [203.00ms]
47.57.181.17:443#US [46.00ms]
38.59.241.94:8443#US [沧州电信优选高速156.00ms]
64.186.227.83:443#US [156.00ms]
38.75.221.26:443#US [156.00ms]
64.186.232.79:8443#US [沧州电信优选高速157.00ms]
136.175.179.113:8443#US [171.00ms]
192.9.159.222:443#US [171.00ms]
137.184.228.85:443#US [171.00ms]
77.83.206.191:443#UZ [328.00ms]
123.58.199.241:443#VN [344.00ms]
